,Distance (nm),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %
0,-4.95,56.632871345948864,17.39312724543871,5.48859653127747,2.0668164108091007,5.864328720330629,10.649024333316675,1.861491598273291
1,-4.85,56.64056194438093,17.462300574830593,5.485784862939083,2.0478998625391625,5.841062534450463,10.624639810788642,1.853954215682688
2,-4.75,56.754537652447304,17.413500090550706,5.4613468427787915,2.0153228582359763,5.822949986027607,10.649865108541233,1.8385990666681058
3,-4.65,56.71798595466906,17.40912329686805,5.504752043236549,2.0248869893213097,5.828376826331995,10.644896452779816,1.8262015483202179
4,-4.55,56.76121516805899,17.354815712714686,5.516643090548038,2.0242477943772643,5.838069172107165,10.652825669846976,1.8082395723464497
5,-4.45,56.82837517211703,17.364344301674514,5.4916863933753195,2.034999257518715,5.790917270114691,10.663383361058013,1.782501026371188
6,-4.35,56.738781891373534,17.43892577720545,5.528207983740158,2.0536142535532473,5.77862148009069,10.62492950908946,1.7930330323296388
7,-4.25,56.80409368988752,17.414481089526127,5.5241095869044745,2.0534416828489057,5.786508821595036,10.599165481034689,1.7745612598490699
8,-4.15,56.844300440372606,17.39129551819306,5.519147544845485,2.0669641134576056,5.773608739005672,10.596412045754883,1.764626441625221
9,-4.05,56.82706089885112,17.44754609999627,5.559305173893041,2.0109670119244494,5.767255635825572,10.58534856007704,1.7588003431854071
10,-3.95,56.82186869340775,17.452357755926208,5.5583024430394685,2.0473413867523305,5.722823124176543,10.59538757830492,1.758235542513529
11,-3.85,56.89252560170718,17.420074042339,5.564990691875131,2.0293921573524583,5.701922910666977,10.594828563393905,1.7525498882832897
12,-3.75,56.87732826518537,17.414075085330683,5.559123306676798,2.0453373745793715,5.716860435719285,10.597673536063311,1.7459770652671631
13,-3.65,56.877825871908904,17.454480845674166,5.57967554137062,2.014389294394816,5.715985845739452,10.564597979478032,1.7494632461158792
14,-3.55,56.898977576662205,17.434394784749298,5.565065338040522,2.050105395823967,5.707727430184479,10.548561081438452,1.751560668931817
15,-3.45,56.905977028935,17.4461867349003,5.5924152045824425,2.0269617625564287,5.661077121867385,10.569086867717017,1.7545921928620767
16,-3.35,56.93323185174256,17.428367292743424,5.583792337861054,2.026906186038193,5.651762342539919,10.54976017290921,1.7825303087509237
17,-3.25,56.926308448410765,17.395999611717503,5.605199390252672,2.0664807943972274,5.626096538533442,10.556694203363461,1.7794483512374708
18,-3.15,56.87273947734829,17.393598964513384,5.636764784152117,2.0491471502873395,5.642310756009888,10.560733640524136,1.8009649096520932
19,-3.05,56.89926828990461,17.412632692558788,5.638851641463937,2.0598457310440317,5.598120858127195,10.524883020716867,1.8228139623699255
20,-2.95,56.84647271436775,17.429284765982246,5.624749876631715,2.0879554799281688,5.601741858026312,10.51594641045236,1.8503243997372287
21,-2.85,56.842298278470224,17.385984536022843,5.643310526236171,2.0650077907193,5.597749723476182,10.51871591813723,1.9034093184299674
22,-2.75,56.752066313713755,17.414670277073146,5.669633546119139,2.053047305475684,5.58326544509431,10.506176142648336,1.9776423380174732
23,-2.65,56.78013754189636,17.413448457076623,5.679792220038872,2.0821305929381784,5.527270226912185,10.451619075922755,2.022211238495551
24,-2.55,56.74666626869055,17.392562276334946,5.644366175070806,2.059804300648892,5.546265303870476,10.495278988012368,2.0715566683921414
25,-2.45,56.59479310253437,17.38580334480987,5.6945755658468,2.1001927390643247,5.552310410480531,10.478111290211485,2.1506666480227445
26,-2.35,56.54858205956975,17.443142087946047,5.644612014885313,2.0657206267586234,5.541335058851075,10.471967328564654,2.2411916236761966
27,-2.25,56.431287767281745,17.362029814478337,5.7042558914426555,2.0673341713737825,5.544836078922185,10.483634184507252,2.3630727905832067
28,-2.15,56.275100125079526,17.39306364242189,5.689815203134605,2.077248020823636,5.568930825378069,10.470157675029192,2.4821162093829874
29,-2.05,56.12191326695204,17.362868638140345,5.70950366582678,2.0725115862858625,5.61852762285143,10.47467405101902,2.596427385233
30,-1.95,55.927659990019684,17.325589429910263,5.67156630255091,2.115503302800506,5.628039749238168,10.522459920997369,2.765299277957467
31,-1.85,55.6685755430773,17.31407621100292,5.661418721454446,2.1194009523160977,5.689133891414631,10.576690335203667,2.9266171825482052
32,-1.75,55.47749646319301,17.25580375113592,5.662185647722973,2.100269728897149,5.770993176027633,10.559165672464218,3.130205056633427
33,-1.65,55.11276130271349,17.21302313230923,5.619045899019521,2.1143724315941923,5.8793093938428065,10.642919533519663,3.374248850364598
34,-1.55,54.794371436978984,17.1545971976162,5.610271407484097,2.1207536953653414,5.966829351496913,10.693777386509202,3.6149154371094956
35,-1.45,54.3651331159952,17.074969064439138,5.598367025436913,2.1176694556096733,6.132165982819117,10.791803257201632,3.8751417092948706
36,-1.35,54.023710530510904,16.998791298370424,5.548937083630398,2.1006365487863157,6.299865330706387,10.889724616955492,4.093282123226237
37,-1.25,53.463063263453336,16.92094530025213,5.506773707977923,2.127310732792991,6.515230693318731,11.027988758142637,4.393124899804919
38,-1.15,52.96529575249048,16.779183217899096,5.444824981326814,2.1229608032864804,6.779533340123582,11.171626655840287,4.690842075779181
39,-1.05,52.369210412969466,16.709342248068513,5.386262230136658,2.125000608363621,7.006077687763996,11.390897475413002,4.966734677213078
40,-0.95,51.69983165283374,16.535698539899894,5.319949036375866,2.137315956260453,7.393422514157636,11.580835717187195,5.285958572466731
41,-0.85,50.98964226306176,16.417963540355064,5.2498116940533714,2.1059775704185193,7.786154459434891,11.85473474856845,5.547995713287116
42,-0.75,50.12960955612811,16.236571227621116,5.148519988585363,2.1373618929848988,8.263389858844757,12.186339504443804,5.849885997757427
43,-0.65,49.29499295726779,15.980131696245516,5.0408239481616395,2.09703940090657,8.819022974569917,12.544148310439526,6.174478350829311
44,-0.55,48.25236212114891,15.804235642058249,4.90635103891106,2.139699220324294,9.440591014184461,12.982364710355043,6.424249035632361
45,-0.45,47.19873127358171,15.667802141002248,4.860162287721308,2.0995273354548227,10.041724011234345,13.44464200449697,6.636297398788135
46,-0.35,46.11387927645604,15.383907505348912,4.713433759116158,2.1361780772544035,10.821930414288307,13.919485933847866,6.8592616072044805
47,-0.25,44.84021758041555,15.204595479538474,4.5732641866775126,2.0810576880608633,11.663587060777116,14.523113916590486,7.061449508856146
48,-0.15,43.57061625266133,14.946477714821063,4.466976321103753,2.038013690702333,12.514178877863522,15.21468295801627,7.1949719962906835
49,-0.05,42.25722961589046,14.664833779583123,4.34850582613019,2.044321688584785,13.466015766397039,15.891704502809079,7.272556976074345
50,0.05,40.801765057598814,14.473435673335613,4.234524836618943,1.9980586078716085,14.415675246375207,16.698019984313415,7.322738573536243
51,0.15,39.37238206455898,14.209103691805039,4.08246381230177,2.029438576852311,15.468980131084182,17.424965807833146,7.356079669817116
52,0.25,37.93401314140862,13.943617598958918,3.9282768490828004,2.00387555786344,16.528905993974522,18.30080305789269,7.303083506556628
53,0.35,36.42069358449865,13.780424278497879,3.8036797660747266,1.9930208771042006,17.519959515473527,19.150615636329,7.273345677921816
54,0.45,35.023213034424515,13.560342526517472,3.6920163817030094,1.9438803144001597,18.552771042290605,20.003405448116965,7.165569744469965
55,0.55,33.519310248119616,13.361740886464437,3.5637659452285195,1.926717947834007,19.563018409872544,20.91512467821268,7.090699444519541
56,0.65,32.017120043387756,13.16729029652266,3.447714161605231,1.851266184528391,20.60855350896579,21.815683521289248,7.032220452519032
57,0.75,30.725811352164,12.990963209213637,3.3194717076466853,1.8775351436322405,21.496915220185308,22.615965633611427,6.912733914933463
58,0.85,29.4373043061715,12.827403206771704,3.1441254359663398,1.82349150636851,22.506778769032497,23.42407535700726,6.7758160098124725
59,0.95,28.06437193470199,12.561342524160505,3.075967117395005,1.777664237322359,23.463048345550707,24.29586371518963,6.700014837109731
60,1.05,26.823355040071284,12.404080165469448,2.9262399896286957,1.7851607846834692,24.42748631400303,24.962667805091744,6.609113783817229
61,1.15,25.5277591796133,12.22097838634318,2.7977581035630497,1.7014926861619242,25.434878543166228,25.75693841341443,6.498059034279175
62,1.25,24.19748381270794,11.99698841412746,2.6703345559630987,1.6617973186829473,26.46649412237942,26.544246398431227,6.400016936862551
63,1.35,22.959540000901228,11.826511261810124,2.5321916062330008,1.6537676153981897,27.3838034974496,27.297736483055985,6.283420587502066
64,1.45,21.66536026375813,11.581081823296357,2.4126449731986064,1.647272581528637,28.521106375777656,27.95438472325132,6.155042833243525
65,1.55,20.51551506564785,11.463508075367992,2.2943796958557736,1.5800871968768702,29.34235064289491,28.68407873039655,6.056921766607458
66,1.65,19.2412872770303,11.210999737813363,2.161695204673645,1.5737920927199511,30.33818714747662,29.447314397190873,5.96306529791797
67,1.75,18.075418651232972,10.976913229909856,2.0288427969098284,1.5209159512662365,31.443482620021662,30.004912428341907,5.885828357607712
68,1.85,17.107723487642758,10.827726937564663,1.880166981996658,1.5042479046274437,32.189190373575535,30.723834441998733,5.702995349120791
69,1.95,15.94434350933562,10.586124158271447,1.749451068735564,1.4585887883589908,33.22347918542267,31.356596736701587,5.617226868504992
70,2.05,14.822333109091215,10.445101410015974,1.6780839758282977,1.4156595123984164,34.23933805653956,31.848548812518864,5.487037229978467
71,2.15,13.77673631309612,10.233615829686226,1.5338717454194792,1.4232994584971441,34.971441287738294,32.53652966987054,5.459767450485868
72,2.25,12.81076199143127,10.02111791412378,1.4035747138943016,1.3187568620856784,35.86632904380854,33.10767004278408,5.407323514574823
73,2.35,11.985537539164069,9.795754185213216,1.2853354786465474,1.3393211565637588,36.683532780421196,33.630947093654726,5.215439903884322
74,2.45,11.063688106605028,9.704946690618286,1.1893511778578056,1.3340825309256847,37.304648146729214,34.17780568236658,5.161233565187285
75,2.55,10.244072621219859,9.494351720081792,1.0425015160611057,1.2884233878709017,38.12489905623291,34.70513572988145,5.036370229740395
76,2.65,9.41791065137375,9.467890507610898,0.9933363820474294,1.231462729470177,38.75122492977069,35.172095860236794,4.9023322662834
77,2.75,8.653723178848153,9.194693756780747,0.9154889887703774,1.2053879644371803,39.73835120397898,35.394308232082594,4.8345849830217125
78,2.85,8.12619400771664,9.017501233818003,0.7987547929083938,1.1662427394556016,40.088834896169466,36.085553542740065,4.653202232261493
79,2.95,7.496317932783077,8.886801698791244,0.7334204508330611,1.0719536099313949,40.627245998039854,36.38533277419544,4.736197321136883
80,3.05,6.851939784368483,8.645083351336575,0.6388579037171919,1.1419199245186522,41.31942454290136,36.71950793439515,4.620587184924894
81,3.15,6.419230411394218,8.623854956386086,0.6064093905466721,1.080597753193756,41.52501260380302,37.21349519309654,4.46888049692277
82,3.25,5.9914614677507405,8.437948813324654,0.5367678207949743,1.115898453240755,41.782647779052105,37.6448005740505,4.428463676472108
83,3.35,5.574142073984195,8.350476062006093,0.4878651963263976,1.0774626513337606,42.425724210029344,37.705018560684024,4.318281455501973
84,3.45,5.278902146758653,8.40106909353345,0.4317963584766029,1.059307780285377,42.682397264881985,37.805053655133975,4.281267010391247
85,3.55,5.01306981976554,8.256734074014867,0.37100684730770256,1.0091119814563185,42.83697013294967,38.28049664858431,4.172328351051076
86,3.65,4.724212999435092,8.004080540020404,0.328469001642345,1.0179645050898225,43.16328671581643,38.51738667592069,4.18472402092362
87,3.75,4.4572203464022335,8.13694417422412,0.2941914833526846,0.9194464493049236,43.450905325258105,38.52148770498321,4.1610443405403705
88,3.85,4.347972896682023,8.035484920621329,0.2406192735181792,0.8468770872223459,43.7301981469747,38.69613548410783,4.045143943415938
89,3.95,4.165861551099547,8.089455915542871,0.2070393374741201,0.8477421520899783,43.66011974707627,38.85577856974568,4.117471508775856
90,4.05,4.151434550577386,8.062075339474513,0.18687602197824518,0.8531296655528585,43.579691451437625,39.10656503408558,4.002600014218828
91,4.15,4.035794347736761,7.976268951878708,0.1735882223687102,0.8305866842452209,44.041968798066364,38.78629039367996,4.0990990990990985
92,4.25,3.8565434866566703,7.981618091667675,0.14149232071592696,0.7655097351553997,44.085137259644455,39.00692555663212,4.105695972910873
93,4.35,3.9429217000418957,7.981640359187159,0.13476189840820849,0.80056573311807,44.31131332808518,38.74344138475536,4.029514190027619
94,4.45,3.7831948771001858,7.927062774324682,0.11488496774383597,0.780628626977347,44.115827613633016,39.282126219495986,3.939965239932836
95,4.55,3.643078029228869,7.761703511053317,0.13654096228868662,0.7867360208062418,44.16775032509753,39.316641755356635,4.131989596879064
96,4.65,3.7699189628820586,8.039671193709792,0.13581129378127235,0.7344531808434596,43.88134381701215,39.3557684755311,4.027877055039314
97,4.75,3.726470494635279,7.654736167827688,0.10609336215869965,0.6725918808551525,44.19689326607414,39.5618805049944,4.0275442389302585
98,4.85,3.6956842248157193,7.826047991396501,0.10754374565904153,0.6676674209665494,44.38868102076939,39.02066797552372,4.23901597472722
99,4.95,3.8053345727120034,7.950122900450634,0.11265874641540352,0.627304383449406,44.75624743957394,38.807896061244364,3.8867267513314214
